timestamp,rchar,wchar,syscr,syscw,read_bytes,write_bytes,cancelled_write_bytes
2025-04-28 17:36:33,25344417,41561,13183,142,0,81920,0
2025-04-28 17:36:34,25344417,41561,13183,142,0,81920,0
2025-04-28 17:36:35,26337623,98196,14362,235,0,86016,0
2025-04-28 17:36:36,26561971,347144,14838,475,0,90112,0
2025-04-28 17:36:37,26561971,347144,14838,475,0,90112,0
2025-04-28 17:36:38,26561971,347144,14838,475,0,90112,0
2025-04-28 17:36:39,28053172,393289,16176,502,0,90112,0
2025-04-28 17:36:40,28053172,393289,16176,502,0,90112,0
2025-04-28 17:36:41,28053172,393289,16176,502,0,90112,0
2025-04-28 17:36:42,28053727,393756,16179,504,0,90112,0
2025-04-28 17:36:43,28053727,393756,16179,504,0,90112,0
2025-04-28 17:36:44,28053727,393756,16179,504,0,90112,0
2025-04-28 17:36:46,28054620,393873,16184,506,0,90112,0
2025-04-28 17:36:47,28054620,393873,16184,506,0,90112,0
2025-04-28 17:36:48,28061612,394906,16205,519,0,90112,0
2025-04-28 17:36:49,28061612,394906,16206,519,0,90112,0
2025-04-28 17:36:50,28061616,394906,16207,519,0,90112,0
2025-04-28 17:36:51,28061616,394906,16207,519,0,90112,0
2025-04-28 17:36:52,28062171,395373,16210,521,0,90112,0
2025-04-28 17:36:53,28062171,395373,16210,521,0,90112,0
2025-04-28 17:36:55,28062171,395373,16210,521,0,90112,0
2025-04-28 17:36:56,28062171,395373,16210,521,0,90112,0
2025-04-28 17:36:57,28062171,395373,16210,521,0,90112,0
2025-04-28 17:36:58,28062171,395373,16210,521,0,90112,0
2025-04-28 17:36:59,28062171,395373,16210,521,0,90112,0
2025-04-28 17:37:00,28062171,395373,16210,521,0,90112,0
2025-04-28 17:37:01,28062171,395373,16210,521,0,94208,0
2025-04-28 17:37:02,28062171,395373,16210,521,0,94208,0
2025-04-28 17:37:03,28063248,395840,16217,523,0,106496,0
2025-04-28 17:37:04,28490227,404958,16649,557,0,110592,0
2025-04-28 17:37:05,28594130,449047,16731,570,0,114688,0
2025-04-28 17:37:06,30490922,2275510,17250,1283,0,118784,0
2025-04-28 17:37:07,31402937,3130518,17461,1616,0,118784,0
2025-04-28 17:37:09,33271938,5040462,17915,2363,0,118784,0
2025-04-28 17:37:10,35146228,6934131,18535,3170,0,122880,0
2025-04-28 17:37:11,37846232,9604806,19151,4220,0,122880,0
2025-04-28 17:37:12,40458215,12238344,19857,5294,0,131072,0
2025-04-28 17:37:13,42103378,13875868,20293,5972,0,135168,0
2025-04-28 17:37:14,44132448,15927049,20837,6803,0,135168,0
2025-04-28 17:37:15,45575515,17375053,21490,7554,0,139264,0
2025-04-28 17:37:16,46915075,18767090,22087,8235,0,143360,0
2025-04-28 17:37:17,48720237,20506247,22639,9002,0,147456,0
2025-04-28 17:37:18,49569231,21449413,22974,9426,0,151552,0
2025-04-28 17:37:19,53376092,25195828,23823,10900,0,151552,0
2025-04-28 17:37:20,53867591,25678136,24119,11187,0,155648,0
2025-04-28 17:37:22,55994988,27818639,24672,12048,0,184320,0
